Base_ID	url	domain	webMethod	type	pageDepth	gatewayType	validateParsedOutput	fetchNextCrawlUrl	uniqueIdentifier	region_input	search_keyword	Channel	scope_name	category_input	Top_Category_LVMH	Category_LVMH	Sub_Category_LVMH	Project	Batch	SubBatch	Scrape_Frequency	Partner_Name	ip_search_keyword_category	ip_filter_by_category	site_name	no_of_pages
94	https://www.mediamarkt.de/de/category/gaming-laptops-348.html	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	94	DE	n/a	Desktop	Hi-Tech_POC	n/a	Computers	Laptops	Gaming Laptops	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
95	https://www.mediamarkt.de/de/category/chromebooks-800.html	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	95	DE	n/a	Desktop	Hi-Tech_POC	n/a	Computers	Laptops	Chromebook	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
96	https://www.mediamarkt.de/de/category/laptops-mit-touchscreen-4386.html	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	96	DE	n/a	Desktop	Hi-Tech_POC	n/a	Computers	Laptops	Touchscreen Laptops	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
97	https://www.mediamarkt.de/de/category/all-in-one-pcs-366.html	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	97	DE	n/a	Desktop	Hi-Tech_POC	n/a	Computers	Desktop	All in One	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
98	https://www.mediamarkt.de/de/category/gaming-pcs-367.html	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	98	DE	n/a	Desktop	Hi-Tech_POC	n/a	Computers	Desktop	Gaming Desktops	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
99	https://www.mediamarkt.de/de/category/pc-geh%C3%A4use-385.html	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	99	DE	n/a	Desktop	Hi-Tech_POC	n/a	Computers	Desktop	Computer Towers	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
100	https://www.mediamarkt.de/de/category/pcs-365.html	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	100	DE	n/a	Desktop	Hi-Tech_POC	n/a	Computers	Desktop	Desktops	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
101	https://www.mediamarkt.de/de/category/laptops-notebooks-362.html?query=laptop&queryMeta[ga_query]=laptop&queryMeta[queryHash]=5eec0dc419aa8337bf725f026fda9c78c1cb1c642eeaff9d6e1112f37783e942&queryMeta[queryRequestId]=5eec0dc419aa8337bf725f026fda9c78c1cb1c642eeaff9d6e1112f37783e942&searchFeatures[0][name]=redirect&searchFeatures[0][value]=1	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	101	DE	laptop	Desktop	Hi-Tech_POC	n/a	Computers	Laptops	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
102	https://www.mediamarkt.de/de/category/gaming-pcs-367.html?query=gaming%20pc&queryMeta[ga_query]=gaming%20pc&queryMeta[queryHash]=f005ed64dbdc065568f2a5a25a1cf5d0b19321fc5497efe4a8c01035a7650aca&queryMeta[queryRequestId]=f005ed64dbdc065568f2a5a25a1cf5d0b19321fc5497efe4a8c01035a7650aca&searchFeatures[0][name]=suggest&searchFeatures[0][value]=1&searchFeatures[1][name]=redirect&searchFeatures[1][value]=1	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	102	DE	gaming pc	Desktop	Hi-Tech_POC	n/a	Computers	Desktop	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
103	https://www.mediamarkt.de/de/category/pcs-365.html?query=pc&queryMeta[ga_query]=pc&queryMeta[queryHash]=d8463bd3ba4b10e5916f65fa7b0c1f9f91f67ca40cc25b48810fb2f5a3340488&queryMeta[queryRequestId]=d8463bd3ba4b10e5916f65fa7b0c1f9f91f67ca40cc25b48810fb2f5a3340488&searchFeatures[0][name]=redirect&searchFeatures[0][value]=1	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	103	DE	pc	Desktop	Hi-Tech_POC	n/a	Computers	Desktop	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
