Base_ID	url	domain	webMethod	type	pageDepth	gatewayType	validateParsedOutput	fetchNextCrawlUrl	uniqueIdentifier	region_input	search_keyword	Channel	scope_name	category_input	Top_Category_LVMH	Category_LVMH	Sub_Category_LVMH	Project	Batch	SubBatch	Scrape_Frequency	Partner_Name	ip_search_keyword_category	ip_filter_by_category	site_name	no_of_pages
455	n/a	SaksFifthAvenue	get	product_listing	product_listing	PLAYWRIGHT	False	False	455	US	n/a	n/a	Hermes_Americas	n/a	n/a	n/a	n/a	Hermes_Americas	United States	Saks Fifth Avenue	Daily	Saks Fifth Avenue	n/a	n/a	Saks Fifth Avenue	0
456	n/a	SaksFifthAvenue	get	product_listing	product_listing	JBROWSERSCREENSHOT	False	False	456	US	n/a	n/a	MFK	n/a	n/a	n/a	n/a	MFK	United States	Saks Fifth Avenue	Daily	Saks Fifth Avenue	n/a	n/a	Saks Fifth Avenue	0
457	n/a	SaksFifthAvenue	get	product_listing	product_listing	JBROWSERSCREENSHOT	False	False	457	US	n/a	n/a	Maison_Francis_Kurkdjian	n/a	n/a	n/a	n/a	Maison_Francis_Kurkdjian	United States	Saks Fifth Avenue	Daily	Saks Fifth Avenue	n/a	n/a	Saks Fifth Avenue	0
