Base_ID	url	domain	webMethod	type	pageDepth	gatewayType	validateParsedOutput	fetchNextCrawlUrl	uniqueIdentifier	region_input	search_keyword	Channel	scope_name	category_input	Top_Category_LVMH	Category_LVMH	Sub_Category_LVMH	Project	Batch	SubBatch	Scrape_Frequency	Partner_Name	ip_search_keyword_category	ip_filter_by_category	site_name	no_of_pages
83	n/a	flaconi_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	83	DE	n/a	n/a	Hermes_Europe	n/a	n/a	n/a	n/a	Hermes_Europe	Germany	Flaconi	Daily	Flaconi	n/a	n/a	Flaconi	0
84	n/a	flaconi_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	84	DE	n/a	n/a	MFK	Mens fragrance	n/a	n/a	n/a	MFK	Germany	Flaconi	Daily	Flaconi	n/a	n/a	Flaconi	0
85	n/a	flaconi_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	85	DE	n/a	n/a	PCD_DE	n/a	n/a	n/a	n/a	PCD_DE	Germany	Flaconi	Daily	Flaconi	n/a	n/a	Flaconi	3
86	n/a	flaconi_de	get	product_listing	product_listing	SELENIUM	False	True	86	DE	n/a	n/a	Project-1	n/a	n/a	n/a	n/a	Project-1	Germany	Flaconi	Daily	Flaconi	n/a	n/a	Flaconi	3
