Base_ID	url	domain	webMethod	type	pageDepth	gatewayType	validateParsedOutput	fetchNextCrawlUrl	uniqueIdentifier	region_input	search_keyword	Channel	scope_name	category_input	Top_Category_LVMH	Category_LVMH	Sub_Category_LVMH	Project	Batch	SubBatch	Scrape_Frequency	Partner_Name	ip_search_keyword_category	ip_filter_by_category	site_name	no_of_pages
246	n/a	m_parfumdreams_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	246	DE	n/a	n/a	COTY_DACH_Prestige	n/a	n/a	n/a	n/a	COTY_DACH_Prestige	Germany	Parfumdreams	Daily	Parfumdreams	n/a	n/a	Parfumdreams	2
247	n/a	m_parfumdreams_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	247	DE	n/a	n/a	Hermes_Europe	n/a	n/a	n/a	n/a	Hermes_Europe	Germany	Parfumdreams	Daily	Parfumdreams	n/a	n/a	ParfumDreams	0
248	n/a	parfumdreams_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	248	DE	n/a	n/a	PCD_DE	n/a	n/a	n/a	n/a	PCD_DE	Germany	Parfumdreams	Daily	Parfumdreams	n/a	n/a	Parfumdreams	2
