Base_ID	url	domain	webMethod	type	pageDepth	gatewayType	validateParsedOutput	fetchNextCrawlUrl	uniqueIdentifier	region_input	search_keyword	Channel	scope_name	category_input	Top_Category_LVMH	Category_LVMH	Sub_Category_LVMH	Project	Batch	SubBatch	Scrape_Frequency	Partner_Name	ip_search_keyword_category	ip_filter_by_category	site_name	no_of_pages
368	n/a	Kicks	get	product_listing	product_listing	PLAYWRIGHT	False	True	368	SE	n/a	n/a	COTY_EDM_Prestige	n/a	n/a	n/a	n/a	COTY_EDM_Prestige	Sweden	Kicks	Daily	Kicks	n/a	n/a	KICKS_SE	0
369	n/a	Kicks	get	product_listing	product_listing	JBROWSERSCREENSHOT	False	False	369	SE	n/a	n/a	PCD_Europe	n/a	n/a	n/a	n/a	PCD_Europe	Sweden	Kicks	Daily	Kicks	n/a	n/a	Kicks	2
370	n/a	Kicks	get	product_listing	product_listing	SELENIUM	False	False	370	SE	n/a	n/a	PCD_SE	n/a	n/a	n/a	n/a	PCD_SE	Sweden	Kicks	Daily	Kicks	n/a	n/a	Kicks	0
